what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1534833232002
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1534833233606
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1534833233783
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1534833234884
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1534833237512
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordNext",1534833238122
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordNext",1534833238317
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordNext",1534833238524
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordNext",1534833238797
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordNext",1534833239020
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordNext",1534833239325
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1534833239817
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1534833240376
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1534833242582
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534833249412
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534833255301
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534833276365
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534833279594
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534833282935
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534833284735
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1534833298037
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1534833317212
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1534833333726
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534833337504
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534833406473
