what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534745194374
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1534745201061
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1534745201204
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1534745202253
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1534745210810
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534745218508
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534745258772
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1534745258961
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1534745258981
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1534745260528
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1534745262473
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1534745268813
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1534745269782
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534745271909
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534745279655
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1534745283848
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1534745284991
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534745287620
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534816055689
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1534816061311
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534816062698
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534816083742
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534816084576
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534816218494
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534816220676
