what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1534822364171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534822366892
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534822372072
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534822373058
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534822388501
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534822388548
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1534822398008
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1534822400935
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1534822402170
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1534822419647
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1534822424003
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534822432389
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1534822439606
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1534822440892
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534822455755
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534822480222
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534822491553
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1534822495496
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1534822499990
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534822504784
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534822508368
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534822518791
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534822536625
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534822540007
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534822582185
