what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534830319578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534830338143
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534830339310
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.opendecl",1534830357519
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534830357595
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534830357610
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1534830361018
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534830363127
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534830363127
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1534830364777
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1534830365436
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1534830367770
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1534830369128
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534830371656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534830433180
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534830436543
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534830476969
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534830478930
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1534830485769
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1534830488298
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1534830491339
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534830496302
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534830568006
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534830569401
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1534830570430
