what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534834320877
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534834328933
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534834360268
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534834438298
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534834450029
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1534834462232
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534834465649
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534834466704
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1534834466716
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1534834467159
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534834468569
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534834501688
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1534834513912
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534834515603
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534834518039
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1534834518052
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1534834518439
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534834520718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534834523333
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534834523445
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534834543466
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534834597892
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534834607542
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534834806131
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534834809779
