what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534826591437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534826593637
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534826594807
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1534826594822
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534826603202
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534827514951
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534827524763
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.opendecl",1534827529116
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534827529209
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534827529225
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1534827535654
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534827537511
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534827537511
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1534827539305
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1534827539975
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534827547671
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534827552180
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534827556501
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534827708780
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1534827731811
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1534827737617
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1534827739692
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534827753312
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534827912611
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1534827917994
