what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534498253182
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534498562695
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1534498562710
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534498564301
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534498575729
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534498577507
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534503507851
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534503518373
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.opendecl",1534503521877
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534503521955
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534503521970
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534503525752
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1534503525752
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1534503536690
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534503538142
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534503578753
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1534503580565
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534503582211
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534503603426
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1534503606957
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534503608088
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534503652643
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1534503654974
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534503659070
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1534503843975
